page;2019-02 pi;2019-02 v;2019-03 pi;2019-03 v;2019-04 pi;2019-04 v;2019-05 pi;2019-05 v;2019-06 pi;2019-06 v;2019-07 pi;2019-07 v;2019-08 pi;2019-08 v;2019-09 pi;2019-09 v;2019-10 pi;2019-10 v;2019-11 pi;2019-11 v;2019-12 pi;2019-12 v;2020-01 pi;2020-01 v;2020-02 pi;2020-02 v;2020-03 pi;2020-03 v;2020-04 pi;2020-04 v;2020-05 pi;2020-05 v;2020-06 pi;2020-06 v;2020-07 pi;2020-07 v;2020-08 pi;2020-08 v;2020-09 pi;2020-09 v;2020-10 pi;2020-10 v;2020-11 pi;2020-11 v;2020-12 pi;2020-12 v;2021-01 pi;2021-01 v;2021-02 pi;2021-02 v;2021-03 pi;2021-03 v;2021-04 pi;2021-04 v;2021-05 pi;2021-05 v;2021-06 pi;2021-06 v;2021-07 pi;2021-07 v;2021-08 pi;2021-08 v;2021-09 pi;2021-09 v;2021-10 pi;2021-10 v;2021-11 pi;2021-11 v;2021-12 pi;2021-12 v;2022-01 pi;2022-01 v;2022-02 pi;2022-02 v;2022-03 pi;2022-03 v;2022-04 pi;2022-04 v;2022-05 pi;2022-05 v;2022-06 pi;2022-06 v;2022-07 pi;2022-07 v;2022-08 pi;2022-08 v;2022-09 pi;2022-09 v;2022-10 pi;2022-10 v
berlin-um-1880-atom-2;;;;;;;;;5;5;4;4;;;;;;;9;2;;;;;;;7;1;3;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1880-atom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;7;7;8;8;5;5;2;2;11;11;;;2;2;2;2;2;2;3;3;;;;;2;2;1;1;;;;;3;3;2;2
berlin-um-1880;5;4;4;4;7;7;10;10;3;3;3;3;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1850-wms;;;;;;;;;;;;;4;3;8;8;;;3;3;3;3;5;5;;;1;1;8;7;5;5;3;2;14;11;1;1;9;5;16;16;22;22;27;26;24;23;15;15;21;21;6;5;10;7;6;5;6;6;4;4;3;3;6;5;11;11;8;7;15;13;11;10;6;6;2;2;8;7;8;7;5;5;6;5;5;5;4;4
berlin-um-1850-atom-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;9;3;3;6;6;2;2;2;2;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1850-atom-2;;;;;;;;;;;;;;;14;14;32;30;29;29;35;33;37;35;24;23;20;19;32;30;34;30;16;14;9;4;31;12;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1850-atom-1;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1850-atom-0;;;;;;;;;12;12;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1850-atom;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;7;7;3;3;1;1;1;1;2;2;;;1;1;;;2;2;;;1;1;;;1;1;;;;;1;1;;;;
berlin-um-1850;12;11;24;23;16;16;34;30;16;15;9;9;25;20;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1800-wms;;;;;;;;;;;;;4;3;1;1;1;1;6;6;5;5;10;8;2;2;8;8;10;9;7;7;17;17;9;8;2;1;10;7;7;6;6;6;5;5;6;6;5;5;8;7;13;13;8;7;5;4;3;3;3;3;2;2;12;10;6;6;6;6;4;3;3;3;2;2;1;1;3;2;3;3;4;4;1;1;3;3;7;6
berlin-um-1800-atom-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;7;2;2;17;17;23;22;35;30;16;15;16;15;7;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1800-atom-2;;;;;;;;;;;;;1;1;10;8;21;18;31;28;24;24;36;34;15;14;17;14;21;21;27;26;9;8;14;8;14;7;8;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1800-atom-1;;;;;;;;;;;4;3;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1800-atom-0;;;;;;;;;2;2;3;3;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1800-atom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;17;12;9;4;4;12;10;10;10;13;12;2;2;2;2;;;3;3;1;1;;;;;2;1;6;6;4;4;2;2;1;1;;
berlin-um-1800;7;6;7;6;6;5;7;7;4;3;6;6;7;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1750-wms;;;;;;;;;;;;;4;4;3;3;2;2;2;2;1;1;3;3;1;1;;;2;2;2;2;;;2;2;1;1;8;3;4;3;5;5;9;9;9;9;9;8;6;6;15;11;8;8;4;4;1;1;3;3;;;9;9;5;5;8;7;11;11;5;5;4;4;17;15;8;7;11;10;8;8;3;3;14;14;4;4
berlin-um-1750-atom-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;11;3;3;7;7;3;2;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1750-atom-2;;;;;;;;;;;;;7;7;9;8;19;19;30;29;15;15;16;16;19;16;10;10;14;14;21;18;10;10;11;6;24;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1750-atom-1;;;;;;;;;;;6;6;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1750-atom-0;;;;;;;;;3;3;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1750-atom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;2;2;10;9;1;1;3;3;;;1;1;;;;;1;1;;;3;3;2;1;1;1;1;1;;
berlin-um-1750;6;6;4;4;8;8;12;12;5;3;4;4;7;6;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1690-wms;;;;;;;;;;;;;4;4;4;4;3;3;1;1;2;1;2;2;;;2;2;5;5;3;3;;;12;12;3;2;4;2;2;2;3;3;;;1;1;1;1;;;;;8;8;3;3;1;1;3;3;1;1;4;4;2;2;;;11;10;6;6;4;4;3;2;5;5;7;7;5;5;;;3;3;3;3
berlin-um-1690-atom-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;9;1;1;10;10;31;29;29;25;21;20;20;20;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1690-atom-2;;;;;;;;;;;;;1;1;2;2;5;5;10;10;5;5;8;6;5;4;2;2;10;8;4;4;2;2;1;1;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1690-atom-1;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1690-atom-0;;;;;;;;;1;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1690-atom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;9;4;4;1;1;13;12;7;6;10;9;5;5;5;5;7;7;8;8;7;7;7;7;5;4;5;5;6;6;9;8;4;4;8;8;6;5
berlin-um-1690;5;2;;;5;4;8;7;1;1;4;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1650-wms-2;;;;;;;;;;;;;3;3;10;9;4;4;3;2;1;1;6;6;2;2;1;1;8;8;3;2;3;3;10;8;7;3;8;4;9;9;6;6;8;7;11;11;6;5;13;13;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1650-wms-1;;;4;4;9;9;16;14;9;8;4;4;13;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1650-wms;8;6;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;3;3;2;2;2;2;1;1;2;2;4;3;2;2;2;2;4;4;1;1;;;2;2;2;2;7;6;2;2;2;2;1;1;4;3
berlin-um-1650-atom-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72;27;3;3;3;3;;;1;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1650-atom-2;;;;;;;;;;;;;3;3;1;1;9;8;14;13;7;7;12;12;12;11;5;5;6;6;10;9;1;1;11;7;20;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1650-atom-1;;;;;;;;;;;4;4;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1650-atom-0;;;;;;;;;8;8;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin-um-1650-atom;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;2;2;4;3;2;2;4;4;2;2;;;;;1;1;1;1;;;1;1;1;1;;;;;;;;
berlin-txl-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;5;5;1;1;4;3;4;2;2;2;1;1;;;;;;;1;1;;;;;1;1
berlin-txl-teilräume-wfs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;5;5;1;1;3;3;1;1;5;4;;;;;;;;;;;;;;;;
berlin-txl-gebäudedaten-bestand-und-planung-3d;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;34;86;66;32;19;28;24;12;12;12;11;14;9;34;24;28;18;25;15;13;11;13;11;19;16;39;36;39;30;15;15;11;8;8;8;12;11;17;15;13;12;7;7;5;5;7;5;9;9
berlin-txl-gebäudedaten-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;
berlin-txl-geb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berichte-und-publikationen-der-oe-qpk-im-bezirksamt-mitte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;1;1;3;2;7;4;3;2;;;2;2;7;7;9;8;1;1;;;;;1;1;1;1;8;8;1;1;3;3;5;5;2;2;3;2;9;7;11;10;;;1;1;1;1;;;;;1;1;;
berichte-und-publikationen-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berichte-und-publikationen-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berichte-und-publikationen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;9;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bericht-zur-gesundheitsquote-des-unmittelbaren-landesdienstes-berlin-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;10;8;7;14;13
bericht-zur-gesundheitsquote-des-unmittelbaren-landesdienstes-berlin-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;10;14;10;14;13;7;5;12;9;9;7;2;1;7;6;1;1;3;3;5;5;10;8;2;2;1;1;2;2
behindertenparkplätze-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;3;2;;;2;2;2;2;18;6;3;3;3;3;2;2;2;1;;;2;2;2;1;4;4;5;4;4;4;8;8;5;4;6;5;5;4;4;4
behindertenparkplätze-wfs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;1;1;;;3;3;11;8;1;1;;;1;1;1;1;4;3;;;3;3;3;2;5;4;1;1;2;2;10;8;10;7;8;7;4;4;4;4
behindertenparkplätze-im-bezirk-friedrichshain-kreuzberg;;;;;;;;;6;6;18;13;23;16;11;11;13;13;2;2;6;6;7;7;3;3;4;4;2;2;3;3;7;5;1;1;25;10;50;12;3;3;4;3;2;2;1;1;1;1;23;5;19;16;17;17;4;4;5;4;6;3;1;1;12;6;9;9;1;1;1;1;;;3;2;1;1;1;1;;;1;1;1;1;2;2;;
behindertenarkplätze-im-bezirk-friedrichshain-kreuzberg;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
begräbnisorte-der-opfer-von-krieg-und-gewaltherrschaft-wms-2;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;2;2;1;1;1;1;;;2;2;;;;;;;;;;;;;;;;;1;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
begräbnisorte-der-opfer-von-krieg-und-gewaltherrschaft-wms;5;4;4;3;;;;;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;
begräbnisorte-der-opfer-von-krieg-und-gewaltherrschaft-wfs;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bebauungsplansuche-zu-ihrem-grundstück;2;2;4;3;2;2;3;3;4;4;4;2;;;;;4;4;5;5;2;2;;;1;1;2;2;28;25;4;4;3;3;3;2;7;2;8;5;3;2;1;1;3;2;;;2;2;4;4;1;1;1;1;8;6;1;1;2;2;2;2;2;1;;;6;2;1;1;;;;;;;;;;;;;;;;;;
bebauungspläne-wfs-1;;;;;;;;;;;;;3;3;;;3;1;3;2;1;1;1;1;2;2;;;1;1;;;1;1;3;3;6;1;1;1;3;2;;;;;2;2;6;2;3;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bebauungspläne-wfs-0;3;3;7;7;3;3;4;4;2;2;2;2;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bebauungspläne-vorhabenbezogene-bebauungspläne-geltungsbereiche-wms-2;;;;;;;;;;;;;4;4;3;3;1;1;1;1;;;;;4;3;1;1;6;4;2;2;4;4;2;2;5;2;2;1;5;4;4;2;1;1;4;2;6;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bebauungspläne-vorhabenbezogene-bebauungspläne-geltungsbereiche-wms-1;;;5;5;3;2;3;3;;;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;
bebauungspläne-vorhabenbezogene-bebauungspläne-geltungsbereiche-wms;3;3;4;4;;;2;2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;1;1;4;2;;;1;1;1;1;4;2;;;1;1;;;;;;;;;1;1;;;3;2;2;1;;
bebauungspläne-vorhabenbezogene-bebauungspläne-geltungsbereiche-wfs;;;;;;;;;;;;;4;3;4;4;1;1;2;1;;;3;3;;;2;2;1;1;;;;;;;;;;;;;;;;;;;1;1;;;4;2;;;5;4;;;;;;;;;4;2;;;1;1;;;1;1;;;;;3;2;;;5;5;2;1;;
bdom-bildbasiertes-digitales-oberflächenmodell-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;5;3;;;;;3;3;2;2;1;1;1;1;2;2;;;1;1;2;1;5;4;1;1;1;1;2;2;1;1;1;1;1;1;3;3;;;;;;
bdom-bildbasiertes-digitales-oberflächenmodell-atom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;2;;;1;1;;;;;;;;;1;1;2;2;1;1;2;2;3;3;;;;;1;1;1;1;3;3;;;;;2;2;5;5;2;2;;;;
BCltiges-ergebnis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
baustellen-sperrungen-und-sonstige-störungen-von-besonderem-verkehrlichem-interesse.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;3;;;;;;;;;;;;;;;;
baustellen-sperrungen-und-sonstige-störungen-von-besonderem-verkehrlichem-interesse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;22;24;24;32;22;18;16;26;20;12;12;9;9;19;14;13;11;18;15;18;16;6;6;6;6
baustellen-im-bezirk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baunutzungsplan-wms-2;;;;;;;;;;;;;;;1;1;;;;;;;;;1;1;;;;;;;1;1;;;1;1;3;1;;;;;;;1;1;2;2;2;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baunutzungsplan-wms-1;;;;;1;1;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baunutzungsplan-wms;2;2;;;1;1;;;2;2;6;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;3;3;2;2;;;1;1;1;1;;;4;4;3;3;1;1;1;1;2;2;3;1;1;1;2;1;3;3
baunutzungsplan-atom-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baunutzungsplan-atom-1;;;;;;;;;;;;;;;;;;;;;1;1;2;2;1;1;2;2;1;1;;;;;1;1;2;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baunutzungsplan-atom-0;;;;;;;;;2;2;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baunutzungsplan-atom;;;1;1;3;3;3;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baumbestand-berlin-wms-3;;;;;;;;;;;;;1;1;3;3;5;5;8;7;;;1;1;3;3;3;2;1;1;16;16;8;7;13;5;5;3;9;5;2;2;3;2;1;1;3;2;2;2;;;4;4;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;
baumbestand-berlin-wms-2;;;;;;;;;19;19;6;6;3;3;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baumbestand-berlin-wms;3;3;;;1;1;2;2;1;1;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;1;1;1;1;2;2;1;1;9;7;5;4;13;11;14;11;37;33;26;23;44;36;42;38;61;55;72;62;54;47;69;59;64;55;80;73
baumbestand-berlin-strassenbaume-sachdaten-zur-karte-wfs-0f682ebc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baumbestand-berlin-straßenbäume-wfs);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;
baumbestand-berlin-straßenbäume-wfs-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;6;;;2;1;3;3;1;1;1;1;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baumbestand-berlin-straßenbäume-wfs;;;;;;;;;;;;;;;;;;;3;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;14;12;7;7;3;3;4;4;10;9;9;9;15;10;25;23;33;31;48;41;39;37;53;49;41;39;45;40;35;33;19;16;18;17
baumbestand-berlin-straßenbäume-sachdaten-zur-karte-wfs-3;;;;;;;;;;;;;1;1;8;7;4;4;7;5;2;2;3;3;2;2;5;5;3;3;4;4;6;6;2;2;9;4;5;4;2;2;1;1;2;1;4;3;2;2;6;3;1;1;5;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baumbestand-berlin-straßenbäume-sachdaten-zur-karte-wfs-2;9;8;12;11;7;7;16;15;8;7;12;11;11;10;4;4;5;5;4;4;4;4;2;2;4;4;3;3;5;5;;;2;2;2;2;4;2;7;4;1;1;;;;;1;1;;;1;1;;;;;;;;;;;;;;;;;;;4;2;3;3;;;;;;;;;;;;;1;1;;
baumbestand-berlin-straßenbäume-sachdaten-zur-karte-wfs;;;;;;;;;21;18;5;5;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;2;2;2;5;5;4;3;2;2;1;1;;;3;3;6;5;5;5;7;7;12;11;14;12;9;9;23;18;10;9;2;2;7;6
baumbestand-berlin-stra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;10;4;;;;;1;1;4;2;3;2;1;1;11;6;6;5;6;6;9;8;13;8;6;4;2;2;;
baumbestand-berlin-anlagenbaume-sachdaten-zur-karte-wfs-98ff39da;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;1;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baumbestand-berlin-anlagenbäume-wfs-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baumbestand-berlin-anlagenbäume-wfs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;3;9;8;2;2;;;3;3;1;1;5;4;3;3;5;5;6;5;4;4;9;5;2;2;2;2;2;2;4;3;;
baumbestand-berlin-anlagenbäume-sachdaten-zur-karte-wfs-3;;;;;;;;;;;;;;;6;5;3;3;3;2;2;2;;;;;2;2;2;2;7;7;6;6;5;2;4;2;3;2;;;1;1;;;;;3;3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baumbestand-berlin-anlagenbäume-sachdaten-zur-karte-wfs-2;17;16;23;21;21;20;14;13;13;12;24;21;8;8;9;8;11;11;5;5;8;6;7;6;9;8;6;5;6;6;1;1;8;6;4;4;3;3;9;6;2;2;;;;;4;1;;;1;1;;;1;1;1;1;;;;;;;2;2;1;1;;;2;1;6;5;2;2;4;1;1;1;1;1;;;1;1;2;2;1;1
baumbestand-berlin-anlagenbäume-sachdaten-zur-karte-wfs;;;;;;;;;3;3;1;1;3;2;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;2;2;1;1;;;;;;;1;1;1;1;4;2;1;1;5;4;8;8;8;8;7;7;5;5;6;6;13;13;5;5;7;4;11;11
baugrundkarte-wms-4;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baugrundkarte-wms-3;;;;;;;;;1;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baugrundkarte-wms-2;1;1;;;;;;;;;;;3;3;;;;;;;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baugrundkarte-wms;;;;;;;;;;;;;4;2;1;1;;;2;2;;;2;2;1;1;1;1;1;1;;;;;1;1;4;2;2;1;1;1;3;3;;;1;1;;;1;1;1;1;5;2;2;1;;;2;2;1;1;;;2;2;1;1;2;2;2;2;;;1;1;1;1;1;1;6;2;2;2;1;1;6;6
baugrundkarte-spandau-wms-3;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baugrundkarte-spandau-wms-2;;;;;;;;;;;1;1;1;1;1;1;1;1;2;2;2;2;2;2;3;3;;;5;5;3;3;1;1;3;3;10;2;4;2;;;1;1;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
